REF_AREA,REF_AREA_LABEL,pm25_1990,pm25_1991,pm25_1992,pm25_1993,pm25_1994,pm25_1995,pm25_1996,pm25_1997,pm25_1998,pm25_1999,pm25_2000,pm25_2001,pm25_2002,pm25_2003,pm25_2004,pm25_2005,pm25_2006,pm25_2007,pm25_2008,pm25_2009,pm25_2010,pm25_2011,pm25_2012,pm25_2013,pm25_2014,pm25_2015,pm25_2016,pm25_2017,pm25_2018,pm25_2019,pm25_2020,gdp_1990,gdp_1991,gdp_1992,gdp_1993,gdp_1994,gdp_1995,gdp_1996,gdp_1997,gdp_1998,gdp_1999,gdp_2000,gdp_2001,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,pop_1990,pop_1991,pop_1992,pop_1993,pop_1994,pop_1995,pop_1996,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
AFE,Africa Eastern and Southern,25.11139857159376,24.547885585622065,24.155247670412983,23.90683205431311,23.753597009050456,23.72156931472887,24.05875470149147,24.78824145645825,25.65174110439719,26.40149144833389,26.783512771668025,26.80992564765322,26.71809084366897,26.580602757765373,26.47520753032821,26.48107420418705,26.63446931326892,26.90608288021911,27.274890225671232,27.71602233995417,28.1950673870572,29.449471539337768,29.908440797871503,29.07058189041452,27.77934407500302,29.51546756971795,28.877273984910072,27.31137716489077,27.40429487427152,26.248200464455905,26.755686358589543,256504902942.1142,277043404954.60785,241297872903.1721,240094759186.7469,243571144844.3443,273433173838.29303,273530987732.97537,288377676457.78705,268833469565.37592,265429291662.2156,287201651521.1626,260992228316.3101,267815037639.86145,355716369817.82904,442696186423.4276,516661066865.3956,580240750535.5022,665598701333.933,713502106251.4598,715485349813.3832,849409606774.9001,945439030450.4784,952998471719.3726,962441293816.426,978743758351.2782,898308853395.3586,828961170566.4347,973025126473.8944,1012291194268.215,1009746517725.4224,933407232177.0778,311748681.0,320442961.0,329082707.0,338324002.0,347441809.0,356580375.0,366138524.0,375646235.0,385505757.0,395750933.0,406156661.0,416807868.0,427820358.0,439173286.0,450928044.0,463076637.0,475606210.0,488580707.0,502070763.0,516003448.0,530308387.0,544737983.0,559609961.0,575202699.0,590968990.0,607123269.0,623369401.0,640058741.0,657801085.0,675950189.0,694446100.0
AFG,Afghanistan,64.1740966333107,64.1881530060926,64.2105258245459,64.2441407602245,64.2919234846825,64.3567996694738,64.4759923667356,64.6415192006464,64.7884977008217,64.8520453968767,64.767279818427,64.5975727246894,64.4168880125936,64.1762314183241,63.8266086780653,63.3190255280017,61.5146494273075,58.0837850174423,54.1911438080183,51.0014373086482,49.6793770289443,61.8170559083924,70.9223165078033,73.1318159038053,77.1437275538632,73.4908176326415,72.7659101386992,65.8623470043896,67.2271774798558,58.3308722306744,46.0870936659706,,,,,,,,,,,3521418059.923445,2813571753.8725324,3825701438.999633,4520946818.545814,5224896718.67782,6203256538.709669,6971758282.293506,9747886187.393929,10109297047.543194,12416152732.056717,15856668555.833595,17805098206.314083,19907329777.58717,20146416757.598675,20497128555.69723,19134221644.73249,18116572395.077213,18753456497.815865,18053222687.412624,18799444490.11278,19955929052.1496,12045660.0,12238879.0,13278974.0,14943172.0,16250794.0,17065836.0,17763266.0,18452091.0,19159996.0,19887785.0,20130327.0,20284307.0,21378117.0,22733049.0,23560654.0,24404567.0,25424094.0,25909852.0,26482622.0,27466101.0,28284089.0,29347708.0,30560034.0,31622704.0,32792523.0,33831764.0,34700612.0,35688935.0,36743039.0,37856121.0,39068979.0
AFW,Africa Western and Central,60.24068371147078,58.514552967555474,57.24334464242824,56.40281153351394,55.94774103706884,55.81667324062288,56.51753177883832,58.17406456380808,60.15534694473789,61.83834042510704,62.56761076848373,61.76830945518253,59.76817494682972,57.257341827809945,54.92302423526745,53.4498164500101,52.623903865824666,51.829502399357935,51.15323366879124,50.68630690329389,50.50789256575654,54.18972029703465,58.21321680384124,46.95926934647175,47.13512544866597,71.29505109032237,62.8941317032516,60.34461804050128,56.099950828584696,50.771962096824616,54.89182009687291,123711320144.88084,129941884295.92316,124599331018.71233,129732603621.54916,134776833881.57298,207176966730.6081,262600874773.7577,275742249999.5811,296152427996.97534,139468349993.66473,142140075688.03537,150058483260.65912,179390065281.31378,207754986323.2488,258566656910.9489,317096476047.2647,402724221239.2568,471537814858.5069,575059454850.5073,515474028936.3757,606280114370.8868,691187455140.1849,748126849686.9178,844202569830.5531,903933677159.7228,778022060796.8097,700028171710.1697,694051344215.0453,777840407639.9272,833288902800.0247,797295175501.9727,209566031.0,215178709.0,221191375.0,227246778.0,233360104.0,239801875.0,246415446.0,253207584.0,260297834.0,267506298.0,274968446.0,282780717.0,290841795.0,299142845.0,307725100.0,316588476.0,325663158.0,334984176.0,344586109.0,354343844.0,364358270.0,374790143.0,385360349.0,396030207.0,406992047.0,418127845.0,429454743.0,440882906.0,452195915.0,463365429.0,474569351.0
AGO,Angola,23.8317672842136,23.4439674510016,23.1294635123983,22.895328552451,22.7486356552068,22.6964579047131,22.7599536132442,22.9225353766858,23.1346577045015,23.3467751061551,23.5093420911103,23.6526821946051,23.8200090775863,23.9811124380809,24.1057819741159,24.1638073837181,24.1729316066879,24.1741901310537,24.1723114771848,24.1720241654505,24.17805671622,24.337940171596,24.4804929012722,24.5386584342125,23.9455836380328,25.0021502571501,25.1807008149163,23.9591508117097,24.2650153621146,24.5988113283925,25.1452381976267,11229515599.304768,10603784541.19696,8307810973.588479,5768720421.613673,4438321017.390678,5538749259.94714,7526421519.16979,7648380195.599022,6506221615.787223,6152923310.4454565,9129594970.153011,8936079117.731356,15285592370.37398,17812704586.43969,23552057679.499435,36970900883.810905,52381025141.42681,65266415494.25839,88538665084.86345,70307196181.65387,83799474069.73146,111789747670.5905,128052915766.34274,132339109040.23174,135966802586.7132,90496420506.59566,52761617225.925285,73690154990.73123,79450688259.36636,70897962732.02774,48501561203.56864,11626360.0,12023529.0,12423712.0,12827135.0,13249764.0,13699778.0,14170973.0,14660413.0,15159370.0,15667235.0,16194869.0,16747208.0,17327699.0,17943712.0,18600423.0,19291161.0,20015279.0,20778561.0,21578655.0,22414773.0,23294825.0,24218352.0,25177394.0,26165620.0,27160769.0,28157798.0,29183070.0,30234839.0,31297155.0,32375632.0,33451132.0
ALB,Albania,22.9615792759282,22.7031104857198,22.4828963984711,22.2971318768254,22.1420117834263,22.0137309809171,21.9518831290172,21.9776011720555,22.0593888995897,22.1657501011774,22.2651885663762,22.3660062096811,22.4827851202514,22.5934493496412,22.6759229494045,22.7081299710953,22.5109695957413,22.0412299650015,21.4806685713767,21.0110429073679,20.8141104654758,22.7999042481871,20.9627204112539,19.4075322522058,19.3679442180935,19.121557306579,17.602163992984,18.5552438171978,19.0461862321065,15.70470712234,15.7070036417042,2028553750.0,1099559027.7777777,652174990.8373039,1185315468.4629517,1880950864.4131143,2905092798.6191645,3234486232.0439167,2293666029.993184,2600356999.206139,3283941510.499638,3584570164.851953,4059064033.133788,4515003116.680365,5801712040.48463,7406645793.440382,8256658249.812802,9150528132.176329,11116937869.85684,13258506375.451752,12335540656.100584,12086545641.299042,12973755874.536465,12246499747.971436,12796985886.147848,13296322588.168371,11470171826.95748,11988668784.662786,13258268435.604792,15379508329.75682,15585111614.037556,15241455556.373676,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0
AND,Andorra,16.8271851125526,16.457868827636,16.1439805824218,15.8873977587833,15.6899977385935,15.5536579037255,15.5722833198847,15.7624725287727,16.0101431262568,16.2012127082044,16.2215988704827,16.0398963763555,15.7322043920316,15.3456971177959,14.9275487539332,14.5249335007286,14.0587152187082,13.4952355101681,12.9498851880477,12.5380550652865,12.375135954824,13.4732948489243,12.2593146393596,11.2698563251216,10.4359992732348,11.1088936507291,10.1068248002358,10.0219190390452,9.89580638748632,9.01087465277866,9.08028059086901,1028989692.0678709,1106891361.5394838,1209992020.2954278,1007090269.8695564,1017544068.8407956,1178745282.8678029,1224024139.212953,1180645571.8643036,1211953994.0571387,1240295103.079385,1432606188.693242,1548265808.0580215,1764279824.297522,2366941808.944043,2900245324.492212,3161084091.1167426,3459337986.8838334,3957625367.219591,4102319399.0234303,3688976340.754897,3449925738.860686,3629133574.2778273,3188652765.361844,3193512950.024186,3271685596.663212,2789881258.503616,2896610479.7307653,3000162081.1197567,3218419896.9641023,3155149347.806392,2891001149.361105,52597.0,56667.0,60200.0,63272.0,64612.0,63912.0,63984.0,64700.0,65382.0,65710.0,65685.0,65852.0,66506.0,69486.0,74325.0,77421.0,79585.0,81877.0,83495.0,83888.0,80706.0,77783.0,76834.0,75194.0,73737.0,72174.0,72181.0,73763.0,75162.0,76474.0,77380.0
ARB,Arab World,40.31570748191944,40.49831390108381,40.77382734244831,41.00108339863878,41.18527188430759,41.33118059249616,41.58841611524356,42.0622670349024,42.63273302142851,43.16032307318612,43.50640562399445,43.65364727163206,43.71982303058468,43.7698409514128,43.868951427511945,44.097495689411815,44.79640058874198,46.00386380982323,47.37407593992644,48.52974351330637,49.02234763947879,45.2814803173503,46.51448636431304,47.43770222798194,42.87087447615439,47.81802088355183,44.58579895989649,44.24919136151767,46.346347289331625,44.547409419694965,39.71321468798375,641712235246.4226,467952893083.32587,467794315257.0669,478927015196.0031,499880123725.2935,528480485482.6163,570909722765.544,614596967130.0549,598789587273.9712,665415371173.9202,763411636190.425,744728537853.6204,746649261275.2719,830076468636.6003,987316008401.5898,1210080439500.2998,1439471041382.967,1674641032780.088,2118071078804.5205,1829849574764.629,2155345288815.1875,2565019402570.001,2805384177334.912,2874275588328.1147,2926204954050.536,2568631130655.528,2524102874214.64,2598475460609.5664,2907329557076.048,2949355029586.245,2596422612311.0547,223184294.0,228402316.0,234321565.0,240926205.0,247626514.0,253952538.0,260229121.0,266565183.0,273094199.0,279709634.0,286548096.0,293580252.0,300691509.0,307815105.0,315060277.0,322628451.0,330526310.0,338947976.0,347684619.0,356386673.0,363568534.0,372054934.0,381030177.0,390954281.0,400231008.0,410190679.0,419808341.0,428315886.0,435998060.0,444281315.0,453723239.0
ARE,United Arab Emirates,44.2966114111942,44.2073423507993,44.1327883015017,44.0760925691775,44.0403984597028,44.0288492789537,44.0447166630852,44.0807781273691,44.1244357963569,44.1630917945999,44.1841482466495,44.1897103666173,44.1860960517829,44.1670264514498,44.1262227149214,44.0574059915013,43.8330832135241,43.4209615076897,42.9575623148493,42.5794070758541,42.4230172315555,46.4897172925459,49.8585704896572,43.6717315179427,38.4444708976302,48.347575903809,43.0819708202795,44.2485056396036,45.9879061419392,41.955626323257,36.3055030826594,50701443748.29747,51552165622.446205,54239171887.769005,55625170253.33697,59305093979.84201,65743666575.86489,73571233996.18633,78839008444.56552,75674336283.18584,84445473110.95984,104337372362.15112,103311640571.81757,109816201497.61745,124346358066.71204,147824370319.94556,180617467964.6017,222116541865.21445,257916133424.098,315474615738.5977,253547358747.44727,300189052688.90405,360832739550.7148,384610125391.4227,400218529748.128,414105366752.8931,370275469571.1368,369255326235.5344,390516804029.95233,427049432157.9306,417989721742.6821,349473015330.15656,1898220.0,2006626.0,2114730.0,2222093.0,2328188.0,2434662.0,2597564.0,2817410.0,3040421.0,3266009.0,3493575.0,3723590.0,3956826.0,4192457.0,4428967.0,4664790.0,5009100.0,5624635.0,6302664.0,6707058.0,6869838.0,7104538.0,7391448.0,7693031.0,8059440.0,8505237.0,8935095.0,9223225.0,9346701.0,9445785.0,9401038.0
ARG,Argentina,18.9601696021105,19.0130305215929,19.0186999165937,18.9831793900266,18.9124705448052,18.8125749838432,18.6337466004746,18.3556143551834,18.0282424516081,17.7016950933875,17.42603648416,17.183873772998,16.9235142685328,16.6435724137411,16.3426626515998,16.0193994250859,15.5877675221277,15.0427292384364,14.5043652786628,14.0927563474575,13.9279831494715,14.2389306717038,13.3571618542264,14.7643699932772,13.9500593062949,14.6245514656634,14.2700594540808,13.9690174802422,14.1850800443346,14.3996238920365,14.9081737974407,141352654305.16275,189719984268.48453,228778917308.16983,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530158122010.4424,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557532320662.9546,643628393281.364,524819892360.1758,447754683615.22455,385740508436.9652,32755901.0,33230294.0,33693527.0,34152717.0,34613491.0,35070020.0,35513793.0,35947791.0,36372860.0,36794682.0,37213984.0,37624825.0,38029349.0,38424282.0,38815916.0,39216789.0,39622115.0,40016763.0,40424148.0,40854831.0,41288694.0,41730660.0,42161721.0,42582455.0,43024071.0,43477012.0,43900313.0,44288894.0,44654882.0,44973465.0,45191965.0
ARM,Armenia,28.2172870138816,28.1988590978455,28.1673524362039,28.1245884466043,28.0723885466943,28.0125741541215,27.9209808921708,27.7928546237457,27.6591321259217,27.5507501757743,27.498645550379,27.4828126677005,27.4848026556976,27.5378873564374,27.6753386119868,27.9304282644128,28.4040594680882,29.2219860543866,30.454755880876,32.172916805124,34.4470166846987,41.8107255386856,43.2896148307344,41.050500477264,38.639237611456,38.1148586893988,35.8609078798257,34.0153569947094,34.201366074335,32.6618235324139,30.5796334750125,2256863448.77086,2069870129.8701296,1272835453.426344,1201312829.2752385,1315158636.6755345,1468317435.2014842,1596968946.2370784,1639492444.7615163,1893726437.2646184,1845482173.027324,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469511.1019125,6384452066.514603,9206301269.791636,11662040713.875307,8647937081.256197,9260285755.624235,10142111824.583546,10619320682.947445,11121464437.04153,11609513246.795769,10553337518.414,10546136235.521862,11527458709.015797,12457940694.73953,13619290539.211609,12641698583.21524,3552128.0,3613977.0,3571861.0,3453332.0,3364610.0,3307581.0,3278735.0,3246289.0,3208401.0,3167286.0,3221100.0,3211800.0,3199800.0,3182500.0,3164900.0,3146400.0,3127100.0,3107400.0,3087100.0,3066000.0,3044800.0,3027900.0,3024100.0,3022000.0,3013800.0,3004600.0,2992300.0,2979400.0,2969000.0,2962500.0,2961500.0
